"address","city","zip_code","sold_date","price","rooms","size","build_year","latitude","longitude"
"Vestre Ringgade 174, 1. th","Aarhus C",8000,"2019-05-04",1400000,2,66,1948,56.167236,10.190792
"Skt. Pauls Kirkeplads 12, 3","Aarhus C",8000,"2019-05-03",3950000,4,107,1903,56.14581,10.203477
"Odensegade 29, 1. tv","Aarhus C",8000,"2019-05-03",2337500,2,54,1907,56.145153,10.201928
"Marselisborg Allé 31, 1","Aarhus C",8000,"2019-05-02",3050000,2,71,1898,56.146442,10.206646
"P.P. Ørums Gade 44, 3. th","Aarhus C",8000,"2019-05-02",2675000,2,69,1937,56.14255,10.1875
"Marselisborg Allé 4A, 2. tv","Aarhus C",8000,"2019-05-01",1300000,2,54,1907,56.148083,10.207568
"Skovvejen 46G, 1. tv","Aarhus C",8000,"2019-05-01",2200000,2,63,1938,56.168438,10.219056
"Langelandsgade 213, 1. mf","Aarhus N",8200,"2019-05-01",1760000,2,65,1938,56.17375,10.201659
"Randersvej 53, 1. tv","Aarhus N",8200,"2019-05-01",1700000,2,55,1933,56.176086,10.201367
"Esther Aggebos Gade 4, 9. 2","Aarhus C",8000,"2019-05-01",8650000,3,161,2017,56.16637,10.226709
"Ceres Allé 7, 5. 2","Aarhus C",8000,"2019-05-01",3950000,4,103,2016,56.15459,10.191217
"Sjællandsgade 82A, st","Aarhus C",8000,"2019-04-30",2200000,2,57,1887,56.162937,10.205655
"Skolegade 24, 1","Aarhus C",8000,"2019-04-30",2020000,3,70,1831,56.15523,10.211501
"Silkeborgvej 116, 2. th","Aarhus C",8000,"2019-04-30",1650000,2,63,1936,56.156593,10.180301
"Herluf Trolles Gade 42, 3","Aarhus N",8200,"2019-04-30",2475000,2,67,1926,56.173008,10.216162
"Stadion Allé 33, kl","Aarhus C",8000,"2019-04-30",1783300,3,109,1929,56.14149,10.194757
"Høegh-Guldbergs Gade 47B, 2","Aarhus C",8000,"2019-04-30",2400000,3,88,1918,56.162495,10.209426
"Janus La Cours Gade 4, 3. tv","Aarhus C",8000,"2019-04-30",1500000,4,97,1928,56.1577,10.197818
"Christiansgade 27, 4. tv","Aarhus C",8000,"2019-04-30",1190000,2,67,1900,56.155415,10.203072
"J. Michaelsens Gade 6, 4. tv","Aarhus C",8000,"2019-04-30",2498000,2,53,1908,56.143883,10.20249
"Marstrandsgade 21, 1. tv","Aarhus C",8000,"2019-04-29",2995000,3,75,1902,56.154285,10.197443
